20,180,1.5,4.0,0.7,97
40,180,1.5,4.0,0.7,55
20,120,1.5,4.0,0.7,33
40,120,1.5,4.0,0.7,39
20,180,0.5,4.0,0.7,37
40,180,0.5,4.0,0.7,48
20,120,0.5,4.0,0.7,24
40,120,0.5,4.0,0.7,36
20,180,1.5,2.0,0.7,25
40,180,1.5,2.0,0.7,38
20,120,1.5,2.0,0.7,27
40,120,1.5,2.0,0.7,28
20,180,0.5,2.0,0.7,34
40,180,0.5,2.0,0.7,33
20,120,0.5,2.0,0.7,19
40,120,0.5,2.0,0.7,27
20,180,1.5,4.0,0.3,33
40,180,1.5,4.0,0.3,40
20,120,1.5,4.0,0.3,19
40,120,1.5,4.0,0.3,38
20,180,0.5,4.0,0.3,28
40,180,0.5,4.0,0.3,36
20,120,0.5,4.0,0.3,18
40,120,0.5,4.0,0.3,25
20,180,1.5,2.0,0.3,25
40,180,1.5,2.0,0.3,32
20,120,1.5,2.0,0.3,15
40,120,1.5,2.0,0.3,27
20,180,0.5,2.0,0.3,20
40,180,0.5,2.0,0.3,30
20,120,0.5,2.0,0.3,20
40,120,0.5,2.0,0.3,27
20,180,1.5,4.0,0.7,17
40,180,1.5,4.0,0.7,22
20,120,1.5,4.0,0.7,10
40,120,1.5,4.0,0.7,18
20,180,0.5,4.0,0.7,12
40,180,0.5,4.0,0.7,22
20,120,0.5,4.0,0.7,8
40,120,0.5,4.0,0.7,19
20,180,1.5,2.0,0.7,11
40,180,1.5,2.0,0.7,19
20,120,1.5,2.0,0.7,12
40,120,1.5,2.0,0.7,17
20,180,0.5,2.0,0.7,11
40,180,0.5,2.0,0.7,17
20,120,0.5,2.0,0.7,9
40,120,0.5,2.0,0.7,13
20,180,1.5,4.0,0.3,11
40,180,1.5,4.0,0.3,18
20,120,1.5,4.0,0.3,15
40,120,1.5,4.0,0.3,18
20,180,0.5,4.0,0.3,9
40,180,0.5,4.0,0.3,25
20,120,0.5,4.0,0.3,6
40,120,0.5,4.0,0.3,16
20,180,1.5,2.0,0.3,13
40,180,1.5,2.0,0.3,18
20,120,1.5,2.0,0.3,11
40,120,1.5,2.0,0.3,15
20,180,0.5,2.0,0.3,12
40,180,0.5,2.0,0.3,12
20,120,0.5,2.0,0.3,12
40,120,0.5,2.0,0.3,12
20,180,1.5,4.0,0.7,37
40,180,1.5,4.0,0.7,56
20,120,1.5,4.0,0.7,30
40,120,1.5,4.0,0.7,41
20,180,0.5,4.0,0.7,34
40,180,0.5,4.0,0.7,47
20,120,0.5,4.0,0.7,28
40,120,0.5,4.0,0.7,36
20,180,1.5,2.0,0.7,32
40,180,1.5,2.0,0.7,46
20,120,1.5,2.0,0.7,27
40,120,1.5,2.0,0.7,36
20,180,0.5,2.0,0.7,28
40,180,0.5,2.0,0.7,40
20,120,0.5,2.0,0.7,26
40,120,0.5,2.0,0.7,33
20,180,1.5,4.0,0.3,36
40,180,1.5,4.0,0.3,49
20,120,1.5,4.0,0.3,33
40,120,1.5,4.0,0.3,44
20,180,0.5,4.0,0.3,36
40,180,0.5,4.0,0.3,47
20,120,0.5,4.0,0.3,31
40,120,0.5,4.0,0.3,36
20,180,1.5,2.0,0.3,36
40,180,1.5,2.0,0.3,49
20,120,1.5,2.0,0.3,32
40,120,1.5,2.0,0.3,37
20,180,0.5,2.0,0.3,32
40,180,0.5,2.0,0.3,38
20,120,0.5,2.0,0.3,32
40,120,0.5,2.0,0.3,32
20,180,1.5,4.0,0.7,38
40,180,1.5,4.0,0.7,50
20,120,1.5,4.0,0.7,28
40,120,1.5,4.0,0.7,39
20,180,0.5,4.0,0.7,29
40,180,0.5,4.0,0.7,45
20,120,0.5,4.0,0.7,27
40,120,0.5,4.0,0.7,38
20,180,1.5,2.0,0.7,31
40,180,1.5,2.0,0.7,43
20,120,1.5,2.0,0.7,29
40,120,1.5,2.0,0.7,36
20,180,0.5,2.0,0.7,39
40,180,0.5,2.0,0.7,41
20,120,0.5,2.0,0.7,24
40,120,0.5,2.0,0.7,26
20,180,1.5,4.0,0.3,37
40,180,1.5,4.0,0.3,47
20,120,1.5,4.0,0.3,27
40,120,1.5,4.0,0.3,38
20,180,0.5,4.0,0.3,25
40,180,0.5,4.0,0.3,43
20,120,0.5,4.0,0.3,23
40,120,0.5,4.0,0.3,36
20,180,1.5,2.0,0.3,24
40,180,1.5,2.0,0.3,43
20,120,1.5,2.0,0.3,25
40,120,1.5,2.0,0.3,35
20,180,0.5,2.0,0.3,25
40,180,0.5,2.0,0.3,36
20,120,0.5,2.0,0.3,24
40,120,0.5,2.0,0.3,29
20,180,1.5,4.0,0.7,22
40,180,1.5,4.0,0.7,28
20,120,1.5,4.0,0.7,18
40,120,1.5,4.0,0.7,24
20,180,0.5,4.0,0.7,18
40,180,0.5,4.0,0.7,25
20,120,0.5,4.0,0.7,18
40,120,0.5,4.0,0.7,23
20,180,1.5,2.0,0.7,18
40,180,1.5,2.0,0.7,27
20,120,1.5,2.0,0.7,15
40,120,1.5,2.0,0.7,20
20,180,0.5,2.0,0.7,18
40,180,0.5,2.0,0.7,23
20,120,0.5,2.0,0.7,12
40,120,0.5,2.0,0.7,19
20,180,1.5,4.0,0.3,19
40,180,1.5,4.0,0.3,28
20,120,1.5,4.0,0.3,14
40,120,1.5,4.0,0.3,25
20,180,0.5,4.0,0.3,18
40,180,0.5,4.0,0.3,29
20,120,0.5,4.0,0.3,15
40,120,0.5,4.0,0.3,21
20,180,1.5,2.0,0.3,18
40,180,1.5,2.0,0.3,25
20,120,1.5,2.0,0.3,12
40,120,1.5,2.0,0.3,25
20,180,0.5,2.0,0.3,18
40,180,0.5,2.0,0.3,24
20,120,0.5,2.0,0.3,17
40,120,0.5,2.0,0.3,19
20,180,1.5,4.0,0.7,59
40,180,1.5,4.0,0.7,79
20,120,1.5,4.0,0.7,37
40,120,1.5,4.0,0.7,56
20,180,0.5,4.0,0.7,42
40,180,0.5,4.0,0.7,52
20,120,0.5,4.0,0.7,36
40,120,0.5,4.0,0.7,45
20,180,1.5,2.0,0.7,44
40,180,1.5,2.0,0.7,55
20,120,1.5,2.0,0.7,35
40,120,1.5,2.0,0.7,45
20,180,0.5,2.0,0.7,33
40,180,0.5,2.0,0.7,44
20,120,0.5,2.0,0.7,34
40,120,0.5,2.0,0.7,32
20,180,1.5,4.0,0.3,38
40,180,1.5,4.0,0.3,62
20,120,1.5,4.0,0.3,37
40,120,1.5,4.0,0.3,46
20,180,0.5,4.0,0.3,41
40,180,0.5,4.0,0.3,50
20,120,0.5,4.0,0.3,33
40,120,0.5,4.0,0.3,44
20,180,1.5,2.0,0.3,39
40,180,1.5,2.0,0.3,52
20,120,1.5,2.0,0.3,50
40,120,1.5,2.0,0.3,41
20,180,0.5,2.0,0.3,33
40,180,0.5,2.0,0.3,49
20,120,0.5,2.0,0.3,30
40,120,0.5,2.0,0.3,38
20,180,1.5,4.0,0.7,29
40,180,1.5,4.0,0.7,43
20,120,1.5,4.0,0.7,21
40,120,1.5,4.0,0.7,38
20,180,0.5,4.0,0.7,27
40,180,0.5,4.0,0.7,38
20,120,0.5,4.0,0.7,24
40,120,0.5,4.0,0.7,32
20,180,1.5,2.0,0.7,29
40,180,1.5,2.0,0.7,39
20,120,1.5,2.0,0.7,31
40,120,1.5,2.0,0.7,35
20,180,0.5,2.0,0.7,20
40,180,0.5,2.0,0.7,35
20,120,0.5,2.0,0.7,20
40,120,0.5,2.0,0.7,24
20,180,1.5,4.0,0.3,39
40,180,1.5,4.0,0.3,41
20,120,1.5,4.0,0.3,22
40,120,1.5,4.0,0.3,28
20,180,0.5,4.0,0.3,30
40,180,0.5,4.0,0.3,37
20,120,0.5,4.0,0.3,22
40,120,0.5,4.0,0.3,29
20,180,1.5,2.0,0.3,25
40,180,1.5,2.0,0.3,38
20,120,1.5,2.0,0.3,22
40,120,1.5,2.0,0.3,26
20,180,0.5,2.0,0.3,25
40,180,0.5,2.0,0.3,34
20,120,0.5,2.0,0.3,20
40,120,0.5,2.0,0.3,24
20,180,1.5,4.0,0.7,29
40,180,1.5,4.0,0.7,44
20,120,1.5,4.0,0.7,24
40,120,1.5,4.0,0.7,32
20,180,0.5,4.0,0.7,26
40,180,0.5,4.0,0.7,35
20,120,0.5,4.0,0.7,22
40,120,0.5,4.0,0.7,31
20,180,1.5,2.0,0.7,25
40,180,1.5,2.0,0.7,39
20,120,1.5,2.0,0.7,23
40,120,1.5,2.0,0.7,32
20,180,0.5,2.0,0.7,23
40,180,0.5,2.0,0.7,30
20,120,0.5,2.0,0.7,22
40,120,0.5,2.0,0.7,27
20,180,1.5,4.0,0.3,27
40,180,1.5,4.0,0.3,39
20,120,1.5,4.0,0.3,22
40,120,1.5,4.0,0.3,30
20,180,0.5,4.0,0.3,25
40,180,0.5,4.0,0.3,37
20,120,0.5,4.0,0.3,26
40,120,0.5,4.0,0.3,32
20,180,1.5,2.0,0.3,25
40,180,1.5,2.0,0.3,36
20,120,1.5,2.0,0.3,20
40,120,1.5,2.0,0.3,32
20,180,0.5,2.0,0.3,22
